Wall time,Step,Value
1692709789.6155515,22,0.8305291533470154
1692709811.8469162,23,0.7804901003837585
1692709834.2389503,24,0.7292863726615906
1692709857.0124078,25,0.7048811316490173
1692709879.7560928,26,0.7111311554908752
1692709902.6547074,27,0.6913455128669739
1692709925.2472582,28,0.6993572115898132
1692709947.851694,29,0.6799666881561279
1692709970.4955223,30,0.6813961267471313
1692709993.488038,31,0.6802324056625366
1692710016.5006392,32,0.6916213035583496
1692710039.3457496,33,0.6815044283866882
1692710062.136423,34,0.672869861125946
1692710415.5232875,35,0.6598053574562073
1692710439.583154,36,0.6675958037376404
1692710468.825436,37,0.6752046942710876
1692710492.7191672,38,0.6743367910385132
1692710516.235457,39,0.6631398797035217
1692710539.7143438,40,0.6654388308525085
1692710562.6286118,41,0.6946284770965576
1692710586.6056352,42,0.6595044732093811
1692710610.6082854,43,0.6639326810836792
1692710633.155559,44,0.6664826273918152
